Def 	$Force$
2.134	0.1999
2.138	0.1919
2.14	0.2019
2.142	0.2019
2.144	0.1919
2.15	0.1979
2.15	0.2059
2.152	0.2099
2.154	0.2119
2.16	0.1999
2.162	0.1919
2.164	0.1979
2.164	0.1979
2.17	0.1999
2.172	0.2019
2.174	0.2019
2.178	0.1999
2.18	0.2079
2.182	0.1979
2.184	0.1899
2.19	0.1979
2.19	0.2019
2.192	0.2019
2.194	0.2059
2.2	0.1999
2.2	0.1939
2.204	0.2039
2.208	0.1999
2.21	0.1919
2.212	0.1959
2.214	0.2039
2.218	0.1939
2.22	0.1979
2.222	0.1919
2.224	0.1899
2.23	0.1959
2.23	0.1979
2.232	0.1899
2.234	0.1899
2.24	0.2019
2.24	0.2039
2.244	0.2039
2.244	0.1979
2.25	0.2019
2.252	0.2059
2.254	0.2119
2.258	0.2079
2.26	0.2019
2.262	0.2139
2.264	0.2159
2.27	0.2099
2.27	0.2019
2.272	0.2079
2.274	0.2139
2.28	0.2099
2.28	0.2079
2.284	0.2019
2.284	0.2099
2.29	0.2119
2.292	0.1999
2.294	0.2039
2.298	0.2019
2.3	0.2159
2.302	0.2179
2.304	0.2179
2.31	0.2099
2.31	0.2219
2.312	0.2259
2.314	0.2119
2.32	0.2239
2.32	0.2179
2.324	0.2199
2.324	0.2239
2.33	0.2159
2.332	0.2139
2.334	0.2139
2.338	0.2179
2.34	0.2159
2.342	0.2259
2.344	0.2199
2.348	0.2199
2.35	0.2279
2.352	0.2279
2.354	0.2179
2.36	0.2199
2.36	0.2279
2.362	0.2339
2.364	0.2339
2.37	0.2199
2.37	0.2119
2.374	0.2199
2.378	0.2179
2.38	0.2139
2.382	0.2099
2.384	0.2199
2.39	0.2179
2.39	0.2159
2.392	0.2039
2.394	0.1979
2.4	0.2119
2.4	0.2079
2.406	0.2119
2.408	0.2139
2.41	0.2259
2.41	0.2239
2.418	0.2219
2.418	0.2119
2.42	0.2099
2.422	0.2099
2.428	0.2119
2.43	0.2079
2.43	0.2199
2.432	0.2239
2.438	0.2199
2.44	0.2179
2.44	0.2119
2.444	0.2039
2.448	0.2179
2.45	0.2259
2.452	0.2279
2.458	0.2259
2.458	0.2319
2.46	0.2219
2.462	0.2239
2.468	0.2179
2.468	0.2139
2.47	0.2239
2.472	0.2319
2.478	0.2319
2.48	0.2339
2.48	0.2339
2.482	0.2339
2.488	0.2379
2.49	0.2299
2.49	0.2239
2.498	0.2359
2.498	0.2419
2.5	0.2379
2.502	0.2359
2.508	0.2319
2.51	0.2319
2.51	0.2399
2.512	0.2339
2.518	0.2259
2.52	0.2439
2.52	0.2459
2.522	0.2359
2.528	0.2239
2.53	0.2219
2.53	0.2239
2.534	0.2379
2.538	0.2359
2.54	0.2279
2.542	0.2359
2.548	0.2319
2.548	0.2239
2.55	0.2199
2.552	0.2159
2.558	0.2279
2.56	0.2399
2.56	0.2359
2.562	0.2219
2.568	0.2239
2.57	0.2279
2.57	0.2219
2.574	0.2219
2.578	0.2319
2.58	0.2339
2.58	0.2499
2.588	0.2459
2.59	0.2339
2.59	0.2299
2.592	0.2339
2.598	0.2399
2.6	0.2379
2.6	0.2479
2.602	0.2559
2.608	0.2539
2.61	0.2579
2.61	0.2459
2.618	0.2399
2.618	0.2519
2.62	0.2579
2.622	0.2579
2.628	0.2619
2.63	0.2599
2.63	0.2539
2.632	0.2599
2.638	0.2519
2.64	0.2459
2.64	0.2619
2.642	0.2579
2.648	0.2579
2.65	0.2599
2.65	0.2559
2.652	0.2539
2.658	0.2619
2.66	0.2599
2.66	0.2559
2.664	0.2679
2.668	0.2719
2.67	0.2679
2.672	0.2679
2.678	0.2599
2.68	0.2619
2.68	0.2739
2.682	0.2719
2.688	0.2639
2.69	0.2699
2.69	0.2739
2.692	0.2539
2.698	0.2579
2.7	0.2519
2.7	0.2579
2.704	0.2699
2.708	0.2719
2.71	0.2719
2.71	0.2659
2.718	0.2679
2.72	0.2659
2.72	0.2619
2.722	0.2579
2.728	0.2639
2.73	0.2759
2.73	0.2759
2.732	0.2659
2.738	0.2639
2.74	0.2619
2.74	0.2579
2.744	0.2559
2.748	0.2459
2.75	0.2539
2.752	0.2639
2.758	0.2679
2.76	0.2599
2.76	0.2579
2.762	0.2579
2.768	0.2679
2.77	0.2659
2.77	0.2599
2.772	0.2599
2.778	0.2799
2.78	0.2859
2.78	0.2759
2.782	0.2679
2.788	0.2699
2.79	0.2699
2.79	0.2739
2.798	0.2699
2.8	0.2659
2.8	0.2739
2.802	0.2859
2.808	0.2699
2.81	0.2639
2.81	0.2819
2.812	0.2799
2.818	0.2799
2.82	0.2779
2.82	0.2719
2.822	0.2779
2.828	0.2879
2.83	0.2899
2.832	0.2819
2.834	0.2839
2.838	0.2919
2.842	0.2839
2.842	0.2719
2.844	0.2699
2.85	0.2659
2.852	0.2659
2.852	0.2799
2.858	0.2719
2.86	0.2699
2.862	0.2739
2.862	0.2739
2.868	0.2699
2.87	0.2619
2.872	0.2679
2.872	0.2839
2.88	0.2819
2.882	0.2779
2.882	0.2759
2.884	0.2759
2.892	0.2679
2.892	0.2659
2.892	0.2599
2.9	0.2639
2.902	0.2779
2.902	0.2859
2.902	0.2739
2.91	0.2739
2.912	0.2819
2.912	0.2819
2.916	0.2799
2.922	0.2779
2.922	0.2839
2.924	0.2919
2.926	0.2979
2.932	0.2899
2.932	0.2779
2.934	0.2819
2.94	0.2939
2.942	0.2979
2.944	0.2899
2.944	0.2879
2.95	0.2839
2.952	0.2899
2.954	0.2899
2.954	0.2739
2.962	0.2959
2.964	0.3059
2.964	0.2979
2.968	0.2899
2.972	0.2979
2.974	0.2879
2.974	0.2919
2.978	0.3059
2.982	0.2839
2.984	0.2999
2.984	0.3159
2.992	0.2999
2.992	0.2959
2.994	0.2959
2.994	0.2839
3.002	0.2839
3.004	0.3019
3.004	0.2979
3.008	0.3059
3.012	0.3199
3.014	0.3059
3.014	0.3019
3.022	0.3039
3.022	0.2939
3.024	0.2939
3.024	0.3239
3.032	0.3139
3.034	0.3039
3.034	0.3099
3.034	0.2999
3.042	0.3039
3.044	0.3039
3.044	0.2979
3.046	0.3079
3.052	0.3299
3.054	0.3219
3.054	0.2979
3.058	0.3019
3.062	0.3059
3.064	0.3119
3.064	0.3119
3.072	0.3019
3.072	0.3119
3.074	0.3239
3.074	0.3119
3.082	0.2839
3.082	0.2939
3.086	0.3139
3.086	0.3139
3.092	0.3199
3.094	0.3019
3.096	0.3079
3.102	0.3219
3.102	0.3119
3.104	0.3039
3.106	0.3119
3.112	0.3359
3.114	0.3299
3.114	0.3279
3.116	0.3219
3.122	0.3239
3.124	0.3379
3.124	0.3359
3.128	0.3279
3.132	0.3319
3.134	0.3399
3.136	0.3299
3.138	0.3259
3.142	0.3279
3.144	0.3159
3.148	0.3219
3.152	0.3279
3.154	0.3199
3.154	0.3279
3.158	0.3339
3.162	0.3179
3.164	0.3259
3.164	0.3239
3.168	0.3119
3.174	0.3239
3.174	0.3339
3.174	0.3179
3.178	0.3199
3.184	0.3219
3.184	0.3159
3.188	0.3239
3.192	0.3239
3.194	0.3219
3.194	0.3319
3.198	0.3379
3.202	0.3239
3.204	0.3239
3.204	0.3259
3.208	0.3239
3.214	0.3279
3.214	0.3279
3.218	0.3179
3.218	0.3259
3.224	0.3339
3.224	0.3199
3.228	0.3179
3.228	0.3159
3.234	0.3239
3.234	0.3259
3.238	0.3259
3.242	0.3239
3.244	0.3319
3.244	0.3379
3.248	0.3259
3.254	0.3159
3.254	0.3259
3.254	0.3339
3.258	0.3379
3.264	0.3439
3.264	0.3379
3.268	0.3379
3.272	0.3519
3.274	0.3379
3.274	0.3339
3.278	0.3379
3.282	0.3459
3.284	0.3479
3.284	0.3499
3.288	0.3459
3.294	0.3339
3.294	0.3479
3.296	0.3399
3.302	0.3279
3.304	0.3359
3.304	0.3499
3.308	0.3499
3.312	0.3539
3.314	0.3519
3.316	0.3359
3.318	0.3399
3.322	0.3499
3.324	0.3439
3.326	0.3519
3.328	0.3559
3.334	0.3579
3.336	0.3559
3.336	0.3519
3.338	0.3359
3.344	0.3419
3.346	0.3639
3.348	0.3579
3.348	0.3419
3.356	0.3479
3.356	0.3359
3.358	0.3359
3.362	0.3419
3.366	0.3299
3.366	0.3319
3.368	0.3539
3.372	0.3459
3.376	0.3259
3.376	0.3379
3.378	0.3299
3.384	0.3359
3.386	0.3519
3.388	0.3419
3.392	0.3419
3.396	0.3579
3.396	0.3519
3.398	0.3339
3.402	0.3319
3.406	0.3259
3.406	0.3299
3.408	0.3599
3.414	0.3519
3.416	0.3379
3.416	0.3519
3.418	0.3479
3.426	0.3359
3.426	0.3399
3.428	0.3539
3.428	0.3619
3.436	0.3859
3.436	0.3759
3.438	0.3579
3.442	0.3639
3.446	0.3699
3.446	0.3659
3.448	0.3679
3.454	0.3779
3.456	0.3779
3.456	0.3819
3.458	0.3719
3.464	0.3539
3.466	0.3579
